Station_Name,Train,count
Euclid Ave,[{'NAME': 'A-C-S'}],1
Coney Island - Stillwell Av,[{'NAME': 'D-F-N-Q'}],1
Spring St,"[{'NAME': '4-6-6 Express'}, {'NAME': 'A-C-E'}]",2
116th St,"[{'NAME': '4-6-6 Express'}, {'NAME': 'A-B-C'}, {'NAME': '2-3'}]",3
103rd St,"[{'NAME': '4-6-6 Express'}, {'NAME': '1'}, {'NAME': 'A-B-C'}]",3
Bleecker St,[{'NAME': '4-6-6 Express'}],1
110th St,[{'NAME': '4-6-6 Express'}],1
28th St,"[{'NAME': '4-6-6 Express'}, {'NAME': '1-2'}, {'NAME': 'N-Q-R-W'}]",3
68th St - Hunter College,[{'NAME': '4-6-6 Express'}],1
23rd St,"[{'NAME': '4-6-6 Express'}, {'NAME': '1-2'}, {'NAME': 'N-Q-R-W'}, {'NAME': 'A-C-E'}, {'NAME': 'F-M'}]",5
51st St,[{'NAME': '4-6-6 Express'}],1
77th St,"[{'NAME': '4-6-6 Express'}, {'NAME': 'R'}]",2
96th St,"[{'NAME': '4-6-6 Express'}, {'NAME': 'A-B-C'}, {'NAME': 'Q'}, {'NAME': '1-2-3'}]",4
33rd St,"[{'NAME': '4-6-6 Express'}, {'NAME': '7'}]",2
Canal St,"[{'NAME': '4-6-6 Express'}, {'NAME': '1-2'}, {'NAME': 'J-Z'}, {'NAME': 'R-W'}, {'NAME': 'N-Q'}]",5
Astor Pl,[{'NAME': '4-6-6 Express'}],1
Franklin St,[{'NAME': '1-2'}],1
18th St,[{'NAME': '1-2'}],1
Christopher St - Sheridan Sq,[{'NAME': '1-2'}],1
79th St,"[{'NAME': '1-2'}, {'NAME': 'D'}]",2
Houston St,[{'NAME': '1-2'}],1
59th St - Columbus Circle,"[{'NAME': '1-2'}, {'NAME': 'A-B-C-D'}]",2
66th St - Lincoln Ctr,[{'NAME': '1-2'}],1
86th St,"[{'NAME': '1-2'}, {'NAME': 'A-B-C'}, {'NAME': '4-5-6-6 Express'}, {'NAME': 'Q'}, {'NAME': 'R'}]",5
50th St,"[{'NAME': '1-2'}, {'NAME': 'D'}, {'NAME': 'A-C-E'}]",3
Eastern Pkwy - Bklyn Museum,[{'NAME': '2-3-4'}],1
Grand Army Plaza,[{'NAME': '2-3-4'}],1
Bergen St,"[{'NAME': '2-3-4'}, {'NAME': 'F-G'}]",2
Nostrand Ave,"[{'NAME': '3-4'}, {'NAME': 'A-C'}]",2
Sutter Ave - Rutland Road,[{'NAME': '3-4'}],1
Saratoga Ave,[{'NAME': '3-4'}],1
Rockaway Ave,"[{'NAME': '3-4'}, {'NAME': 'A-C'}]",2
Junius St,[{'NAME': '3-4'}],1
New Lots Ave,"[{'NAME': '3-4'}, {'NAME': 'L'}]",2
Kingston Ave,[{'NAME': '3-4'}],1
Crown Hts - Utica Ave,[{'NAME': '3-4'}],1
Van Siclen Ave,"[{'NAME': '3-4'}, {'NAME': 'A-C'}, {'NAME': 'J-Z'}]",3
Pennsylvania Ave,[{'NAME': '3-4'}],1
Cortlandt St,"[{'NAME': '1'}, {'NAME': 'R-W'}]",2
Rector St,"[{'NAME': '1'}, {'NAME': 'R-W'}]",2
South Ferry,[{'NAME': '1'}],1
125th St,"[{'NAME': '1'}, {'NAME': '4-5-6-6 Express'}, {'NAME': '2-3'}, {'NAME': 'A-B-C-D'}]",4
Dyckman St,"[{'NAME': '1'}, {'NAME': 'A'}]",2
Van Cortlandt Park - 242nd St,[{'NAME': '1'}],1
207th St,[{'NAME': '1'}],1
215th St,[{'NAME': '1'}],1
231st St,[{'NAME': '1'}],1
Marble Hill - 225th St,[{'NAME': '1'}],1
191st St,[{'NAME': '1'}],1
181st St,"[{'NAME': '1'}, {'NAME': 'A'}]",2
168th St,"[{'NAME': '1'}, {'NAME': 'A-C'}]",2
137th St - City College,[{'NAME': '1'}],1
116th St - Columbia University,[{'NAME': '1'}],1
Cathedral Pkwy (110th St),"[{'NAME': '1'}, {'NAME': 'A-B-C'}]",2
157th St,[{'NAME': '1'}],1
145th St,"[{'NAME': '1'}, {'NAME': '3'}, {'NAME': 'A-B-C-D'}]",3
238th St,[{'NAME': '1'}],1
135th St,"[{'NAME': 'A-B-C'}, {'NAME': '2-3'}]",2
81st St,[{'NAME': 'A-B-C'}],1
72nd St,"[{'NAME': 'A-B-C'}, {'NAME': 'Q'}, {'NAME': '1-2-3'}]",3
Lafayette Ave,[{'NAME': 'A-C'}],1
High St,[{'NAME': 'A-C'}],1
Clinton - Washington Aves,"[{'NAME': 'A-C'}, {'NAME': 'G'}]",2
Franklin Ave,"[{'NAME': 'A-C'}, {'NAME': '2-3-4-5'}]",2
163rd St - Amsterdam Av,[{'NAME': 'A-C'}],1
155th St,"[{'NAME': 'A-C'}, {'NAME': 'B-D'}]",2
Broadway Junction,"[{'NAME': 'A-C'}, {'NAME': 'J-Z'}, {'NAME': 'L'}]",3
Liberty Ave,[{'NAME': 'A-C'}],1
Chambers St,"[{'NAME': 'A-C'}, {'NAME': 'J-Z'}, {'NAME': '1-2-3'}]",3
Fulton St,"[{'NAME': 'A-C'}, {'NAME': 'J-Z'}, {'NAME': 'G'}, {'NAME': '4-5'}, {'NAME': '2-3'}]",5
Utica Ave,[{'NAME': 'A-C'}],1
Shepherd Ave,[{'NAME': 'A-C'}],1
Ralph Ave,[{'NAME': 'A-C'}],1
Kingston - Throop Aves,[{'NAME': 'A-C'}],1
Queens Plz,[{'NAME': 'E-M-R'}],1
Steinway St,[{'NAME': 'E-M-R'}],1
Northern Blvd,[{'NAME': 'E-M-R'}],1
46th St,"[{'NAME': 'E-M-R'}, {'NAME': '7'}]",2
Woodhaven Blvd - Queens Mall,[{'NAME': 'E-M-R'}],1
63rd Dr - Rego Park,[{'NAME': 'E-M-R'}],1
Grand Ave - Newtown,[{'NAME': 'E-M-R'}],1
67th Ave,[{'NAME': 'E-M-R'}],1
Elmhurst Ave,[{'NAME': 'E-M-R'}],1
36th St,"[{'NAME': 'E-M-R'}, {'NAME': 'D-N-R'}]",2
65th St,[{'NAME': 'E-M-R'}],1
Myrtle Ave,[{'NAME': 'J-M-Z'}],1
Marcy Ave,[{'NAME': 'J-M-Z'}],1
Delancey St - Essex St,"[{'NAME': 'J-M-Z'}, {'NAME': 'F'}]",2
Bowery,[{'NAME': 'J-Z'}],1
Broad St,[{'NAME': 'J-Z'}],1
Gates Ave,[{'NAME': 'J-Z'}],1
75th St - Eldert Ln,[{'NAME': 'J-Z'}],1
Crescent St,[{'NAME': 'J-Z'}],1
121st St,[{'NAME': 'J-Z'}],1
Woodhaven Blvd,[{'NAME': 'J-Z'}],1
Chauncey St,[{'NAME': 'J-Z'}],1
104th-102nd Sts,[{'NAME': 'J-Z'}],1
Norwood Ave,[{'NAME': 'J-Z'}],1
DeKalb Ave,"[{'NAME': 'B-D-N-Q-R'}, {'NAME': 'L'}]",2
80th St,[{'NAME': 'A-S'}],1
88th St,[{'NAME': 'A-S'}],1
Ozone Park - Lefferts Blvd,[{'NAME': 'A-S'}],1
Grant Ave,[{'NAME': 'A-S'}],1
Rockaway Park - Beach 116 St,[{'NAME': 'A-S'}],1
Beach 98th St,[{'NAME': 'A-S'}],1
Rockaway Blvd,[{'NAME': 'A-S'}],1
Broad Channel,[{'NAME': 'A-S'}],1
104th St,[{'NAME': 'A-S'}],1
