Train_Name,Station,count
A-C-S,[{'NAME': 'Euclid Ave'}],1
D-F-N-Q,[{'NAME': 'Coney Island - Stillwell Av'}],1
4-6-6 Express,"[{'NAME': 'Spring St'}, {'NAME': '116th St'}, {'NAME': '103rd St'}, {'NAME': 'Bleecker St'}, {'NAME': '110th St'}, {'NAME': '28th St'}, {'NAME': '68th St - Hunter College'}, {'NAME': '23rd St'}, {'NAME': '51st St'}, {'NAME': '77th St'}, {'NAME': '96th St'}, {'NAME': '33rd St'}, {'NAME': 'Canal St'}, {'NAME': 'Astor Pl'}]",14
1-2,"[{'NAME': 'Franklin St'}, {'NAME': '18th St'}, {'NAME': '28th St'}, {'NAME': 'Christopher St - Sheridan Sq'}, {'NAME': '79th St'}, {'NAME': 'Houston St'}, {'NAME': '23rd St'}, {'NAME': '59th St - Columbus Circle'}, {'NAME': 'Canal St'}, {'NAME': '66th St - Lincoln Ctr'}, {'NAME': '86th St'}, {'NAME': '50th St'}]",12
2-3-4,"[{'NAME': 'Eastern Pkwy - Bklyn Museum'}, {'NAME': 'Grand Army Plaza'}, {'NAME': 'Bergen St'}]",3
3-4,"[{'NAME': 'Nostrand Ave'}, {'NAME': 'Sutter Ave - Rutland Road'}, {'NAME': 'Saratoga Ave'}, {'NAME': 'Rockaway Ave'}, {'NAME': 'Junius St'}, {'NAME': 'New Lots Ave'}, {'NAME': 'Kingston Ave'}, {'NAME': 'Crown Hts - Utica Ave'}, {'NAME': 'Van Siclen Ave'}, {'NAME': 'Pennsylvania Ave'}]",10
1,"[{'NAME': 'Cortlandt St'}, {'NAME': 'Rector St'}, {'NAME': 'South Ferry'}, {'NAME': '125th St'}, {'NAME': 'Dyckman St'}, {'NAME': 'Van Cortlandt Park - 242nd St'}, {'NAME': '207th St'}, {'NAME': '215th St'}, {'NAME': '231st St'}, {'NAME': 'Marble Hill - 225th St'}, {'NAME': '191st St'}, {'NAME': '181st St'}, {'NAME': '168th St'}, {'NAME': '137th St - City College'}, {'NAME': '116th St - Columbia University'}, {'NAME': 'Cathedral Pkwy (110th St)'}, {'NAME': '103rd St'}, {'NAME': '157th St'}, {'NAME': '145th St'}, {'NAME': '238th St'}]",20
A-B-C,"[{'NAME': '135th St'}, {'NAME': '116th St'}, {'NAME': '86th St'}, {'NAME': '81st St'}, {'NAME': '103rd St'}, {'NAME': '96th St'}, {'NAME': '72nd St'}, {'NAME': 'Cathedral Pkwy (110th St)'}]",8
A-C,"[{'NAME': 'Lafayette Ave'}, {'NAME': 'High St'}, {'NAME': 'Clinton - Washington Aves'}, {'NAME': 'Franklin Ave'}, {'NAME': '163rd St - Amsterdam Av'}, {'NAME': '155th St'}, {'NAME': 'Broadway Junction'}, {'NAME': 'Liberty Ave'}, {'NAME': 'Chambers St'}, {'NAME': 'Fulton St'}, {'NAME': 'Utica Ave'}, {'NAME': 'Shepherd Ave'}, {'NAME': 'Van Siclen Ave'}, {'NAME': 'Nostrand Ave'}, {'NAME': 'Rockaway Ave'}, {'NAME': '168th St'}, {'NAME': 'Ralph Ave'}, {'NAME': 'Kingston - Throop Aves'}]",18
E-M-R,"[{'NAME': 'Queens Plz'}, {'NAME': 'Steinway St'}, {'NAME': 'Northern Blvd'}, {'NAME': '46th St'}, {'NAME': 'Woodhaven Blvd - Queens Mall'}, {'NAME': '63rd Dr - Rego Park'}, {'NAME': 'Grand Ave - Newtown'}, {'NAME': '67th Ave'}, {'NAME': 'Elmhurst Ave'}, {'NAME': '36th St'}, {'NAME': '65th St'}]",11
J-M-Z,"[{'NAME': 'Myrtle Ave'}, {'NAME': 'Marcy Ave'}, {'NAME': 'Delancey St - Essex St'}]",3
J-Z,"[{'NAME': 'Bowery'}, {'NAME': 'Broad St'}, {'NAME': 'Canal St'}, {'NAME': 'Chambers St'}, {'NAME': 'Fulton St'}, {'NAME': 'Gates Ave'}, {'NAME': '75th St - Eldert Ln'}, {'NAME': 'Crescent St'}, {'NAME': 'Broadway Junction'}, {'NAME': '121st St'}, {'NAME': 'Woodhaven Blvd'}, {'NAME': 'Chauncey St'}, {'NAME': '104th-102nd Sts'}, {'NAME': 'Norwood Ave'}, {'NAME': 'Van Siclen Ave'}]",15
B-D-N-Q-R,[{'NAME': 'DeKalb Ave'}],1
A-S,"[{'NAME': '80th St'}, {'NAME': '88th St'}, {'NAME': 'Ozone Park - Lefferts Blvd'}, {'NAME': 'Grant Ave'}, {'NAME': 'Rockaway Park - Beach 116 St'}, {'NAME': 'Beach 98th St'}, {'NAME': 'Rockaway Blvd'}, {'NAME': 'Broad Channel'}, {'NAME': '104th St'}, {'NAME': '111th St'}, {'NAME': 'Beach 90th St'}, {'NAME': 'Beach 105th St'}]",12
2-5,"[{'NAME': 'President St'}, {'NAME': '3rd Ave - 149th St'}, {'NAME': '149th St - Grand Concourse'}, {'NAME': 'E 180th St'}, {'NAME': 'Burke Ave'}, {'NAME': '219th St'}, {'NAME': 'West Farms Sq - E Tremont Av'}, {'NAME': 'Allerton Ave'}, {'NAME': '174th St'}, {'NAME': 'Prospect Ave'}, {'NAME': 'Jackson Ave'}, {'NAME': '225th St'}, {'NAME': 'Sterling St'}, {'NAME': 'Brooklyn College - Flatbush Ave'}, {'NAME': 'Newkirk Ave'}, {'NAME': 'Church Ave'}, {'NAME': 'Beverly Rd'}, {'NAME': '233rd St'}, {'NAME': 'Winthrop St'}, {'NAME': 'Bronx Park East'}, {'NAME': 'Simpson St'}, {'NAME': 'Nereid Ave (238 St)'}, {'NAME': 'Gun Hill Rd'}, {'NAME': 'Pelham Pkwy'}, {'NAME': 'Intervale Ave'}, {'NAME': 'Freeman St'}]",26
B-D,"[{'NAME': 'Grand St'}, {'NAME': '161st St - Yankee Stadium'}, {'NAME': '155th St'}, {'NAME': 'Bedford Park Blvd'}, {'NAME': 'Fordham Rd'}, {'NAME': '170th St'}, {'NAME': 'Tremont Ave'}, {'NAME': 'Kingsbridge Rd'}, {'NAME': '167th St'}, {'NAME': '174th-175th Sts'}, {'NAME': '182nd-183rd Sts'}]",11
